Score (1 to 5),Keyword,Example expansion
1,embarrassed,union
1,best,"dreary, uninteresting, lackluster, listless, lifeless, uninspired, wearisome, drab, joylessly, unimaginative, blah, tedious, stale, monotonous, unremarkable, tiresomely, boring, tiresome, uninspiring, droning"
5,burdened,overwhelmed
5,grew,"increased, surged"
5,unwelcome,"unpleasant, unwanted, alien, unacceptable, unliked, hostile"
1,bad,"supplier, delivery"
5,fascinating,"spellbinding, captivating, thrillingly, seductive, riveting, compellingly, absorbing, mesmerizing, magnetic, beguiling, hypnotic"
5,dull,"dreary, uninteresting, lackluster, listless, lifeless, uninspired, wearisome, drab, joylessly, unimaginative, blah, tedious, stale, monotonous, unremarkable, tiresomely, boring, tiresome, uninspiring, droning"
5,embarrassed,"unsteady, ashamed, dismayed, worried, confused, inhibited, perplexed, upset, guilty, trepidation, overwhelmed, awkward, uncomfortable, disturbed, frightened"
5,very,"extremely, highly"
4,miserable,"gloomy, disillusioned, pathetic, doomed, agonized, despairing, pointless, despondent, discouraged, hopeless, depressed, deflated, woeful, abandoned, defeated, anguished, isolated, disheartened, inferior, forsaken, drained, unhappy, melancholy, ignored, alone, lonely, neglected, unimportant, plagued, unfortunate, useless, despised, rejected, unwanted, mournful, exhausted, forgotten, unloved, humbled, insignificant, helpless, humiliated, inadequate, sorrowful, desperate, vain, heartbroken, worthless, pained, troubled"
5,exhausted,"spent, weary, worn out, tired, all in, drained"
1,exhausted,"efficiently, notably, impressively, skillfully, expertly, efficiency, perfectly, triumphantly, superbly, splendidly, brilliantly, adequately, perfection, competently, marvelously, grandly, effectiveness, appropriately, admirably, remarkably, effectively, ably, wonderfully"
5,fails,"fumbles, sputters, slips, dies, plummets, strands, defeats, bogs down, goes awry, flounders, deflates, devolves, lapses, stalls, misfires"
5,bad,"unpleasant, dire, despicable, terrible, heinous, disgusting, vile, putrid, atrocious, nasty, poor, offensive, mediocre, substandard, appalling, vicious, awful, miserable, inferior, loathsome, dreadful, unhappy, repulsive, abhorrent, unfortunate"
4,fell,"widened, consolidated"
1,unwelcome,"need n't, should n't have, could n't have, could have"
4,percent,share
5,only,"alone, solely, strictly, particular, unparalleled, primarily, merely, just"
5,well,"efficiently, notably, impressively, skillfully, expertly, efficiency, perfectly, triumphantly, superbly, splendidly, brilliantly, adequately, perfection, competently, marvelously, grandly, effectiveness, appropriately, admirably, remarkably, effectively, ably, wonderfully"
4,won,obtained
1,percent,"strain, anxious, frazzled, worn out, exhausted, drained, weary"
5,perfect,"exceptional, superlative, flawless, superb, outstanding, impeccable, unparalleled"
5,minutes,"breaks, stages, stops, seconds, lapses, moments"
1,minutes,"extremely, highly"
5,heart,"respect, true love, tenderly, love affair, affectionate, loyalty, heartstrings, ardor, devotion, compassion, sensibility, longing, attentive, tenderness, warmth, unconditional love"
1,funny,"superfluous, excess, replete"
1,services,"heightened, improved, extra, prolonged, added, additional, uplifted, accumulated, advanced"
4,i feel,"i appreciate, i understand"
5,too many,"superfluous, excess, replete"
5,stressed,"strain, anxious, frazzled, worn out, exhausted, drained, weary"
1,good,recent
1,moving,"solely, simply, unexplained, primarily, merely, inevitably, only, undeniably, strictly, explicit, utter, particular, alone, particularly, specifically"
5,best,"most remarkable, outstanding, superb, flawless, splendid, superlative, exceptional, impeccable, finest kind, ideal, magnificent, remarkable, most admirable, finest, unparalleled, inimitable, perfect"
5,remarkable,"superlative, outstanding, marvelous, superb, magnificent, exquisite, astonishing, splendid"
5,silly,"off the wall, farcical, humor, ridiculous, lunacy, unbalanced, nonsensical, slapstick, silliness, absurd, inane, bizarre, wacky, humorous, ludicrous, peculiar"
4,n't,do n't
5,more,"heightened, improved, extra, prolonged, added, additional, uplifted, accumulated, advanced"
5,moving,"bouncing, shifting, dashing, advancing, exploring, marching, leaping, gliding, flying, hopping, racing"
5,finnish,helsinki
5,the best,"splendid, exquisite, superb, unparalleled, magnificent, outstanding, finest, superlative"
5,like,"favour, attachment, sentiment, interest, cherish, sympathy, sympathizing, taste, passion, admiring, adore, appetite, zeal, urge"
5,just,"solely, simply, unexplained, primarily, merely, inevitably, only, undeniably, strictly, explicit, utter, particular, alone, particularly, specifically"
5,hopeless,"anguish, overwhelmed, disillusioned, unhappiness, melancholy, abandoned, unfortunate, sadness, disheartened, unhappy, low, discouraged, pathetic, helpless, rejection, dismayed, misery, desperate, suffering, gloomy, bereft, hopelessness, rejected, miserable, sorrowful, woeful"
1,silly,"enduring, invincible, durable, stable, unwavering, unflinching, solidly constructed, tenacious, constant"
2,to,for the sake of
5,solid,"enduring, invincible, durable, stable, unwavering, unflinching, solidly constructed, tenacious, constant"
1,to,"exceptional, superlative, flawless, superb, outstanding, impeccable, unparalleled"
5,time,"age, pace, period"
5,is n't,"need n't, should n't have, could n't have, could have"
5,profit,earnings
5,stupid,"trivial, wrong, loopy, ridiculous, discombobulated, dim, absurd, oblivious, moronic, confused, perverse, idiotic, silly, weak"
4,services,products
1,won,"alone, solely, strictly, particular, unparalleled, primarily, merely, just"
5,fell,"slipped, slumped, diminished, plunged, dropped, weakened, lost ground"
5,funny,"amiable, whimsicality, comical, comic, quirky, zany, playful, hilarious, quirkiness, jovial, witty, gleefully, impish, cheeky, hilariously, whimsical, mischievous, comically, giggling, joyful, humorous, charming, humorously, playfully, laughingly"
5,increased,"widened, consolidated"
5,love,"delight, devoted, respect, tenderness, enthusiasm, loyalty, enthusiastically, lovingly, compassion, treasured, tenderly, cherished, fondly, embrace, sweetly, ardor, crave, enamored, infatuation, treasure, intensely, appreciate, longing, sweetheart, rapturous, delighted, ardent, devotion"
5,company,union
5,new,recent
3,long,widened
5,supply,"supplier, delivery"
5,good,"fine, highly, solid, worthy, pleasing, satisfactory, outstanding, honorable, unwavering, valuable, marvelous, positive, excellent, exceptionally well, impeccable, deserving, superior, flawless, splendid, admirable, suitable"
5,dull,"uninteresting, listless, blah, tedious, boring"
5,sorry,"embarrassed, sorrowful, remorseful, excuse, unsatisfied, guilt, regretful, forgive, apologies, unfulfilled, humiliated, submissive, mournful, unwelcome, unfortunate, unhappy, inadequate, unpleasant, remorse"
